real_name,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015
457,2992829.9758910923,1604188.7531541062,1286339.8310605718,446785.7848584961,247759.75447993915,597173.9361317466
458,2414654.4062094553,1209674.9511758005,1085032.5398990058,473492.9613866568,256199.42831179523,587042.320702249
459,2467185.505798366,1237422.725868134,1087082.6258810356,452150.456443195,239763.20941308644,551587.9236984601
460,1345962.5733760078,653178.1409631495,542462.8405444049,180079.5878752388,74774.66213050477,194418.11760940513
461,2164996.280966311,1068440.17048283,892748.3228390036,317296.96418854303,145801.40920043568,355353.8630924435
462,3408759.7863869304,1919544.1343482453,1637196.2409730824,677149.4376854227,445448.46665023733,1016465.3496812778
463,2454133.521857024,1320824.0086426723,1116101.6943897677,424734.95062932424,254795.07306202242,593919.8317525333
464,3098728.539470805,1630315.9688455677,1447027.449554,652212.158146374,387152.5626064653,874515.6497409565
465,1450541.2515580687,666554.959147167,586856.1571459165,228353.34540188947,91050.49555886498,221915.86194199012
466,2908892.020142149,1398645.0583750824,1187228.3225754574,451752.3910999358,196373.7193430504,471982.1231025993
467,2463055.4305218854,1255296.5657578509,1058503.962309499,405039.19549535605,210684.61042378124,502445.3101135691
468,2522394.8467831505,1274907.8270578387,1147228.956366381,522523.00803956884,288666.3030471384,652376.9539331769
469,1864392.4784591165,935373.0482353154,783752.9900015482,293357.2309282147,143283.5817866776,340976.5967855781
470,1709082.985786836,825608.3052932154,710269.6172163013,276431.86609678867,126447.30793913675,300480.4490568036
471,2374827.943153583,1293200.1221277937,1092275.6870127919,414512.1186038246,255029.32105091715,599453.7900932593
